code,parent,count,id
AI-as-a-Service (Pretrained & GenAI),ML Methods,1,I10
ANON,General Codes,26,I10
Association: Nutri Score,Associations,1,I10
Availablity of Data & Labels,Requirements on AI,2,I10
Color Mapping,Misunderstanding & Confusion,2,I10
Compet Rather Complex (Negative),General Comparison,3,I10
Consider Color Blindness,Change or Enhance Coloring,2,I10
Customizability to Use Case,Positive Feedback,1,I10
Data & ML Literacy,General Codes,1,I10
Data Exploration & Analysis,Types of Daily Work,1,I10
Design,Positive Feedback,1,I10
Explain Color Scoring,Change or Enhance Coloring,1,I10
Generalizability of Labeling,Limitations,1,I10
Health & Medicine,AI Applications & Use Cases,1,I10
Interactivity & Customizability,Room for Improvements,1,I10
Knowledge Acquisition & Transfer,Possible Use Cases,2,I10
Metric Aggregation & Compound,Misunderstanding & Confusion,2,I10
Misunderstanding & Confusion,Limitations,1,I10
ML Methods,Q1 - Who and Why?,1,I10
Money Quotes,General Codes,1,I10
Multiple Criteria,Design,2,I10
Power Draw,Understanding of Properties,1,I10
Predictive Quality,Usability & Performance,1,I10
Q4 - What About Trust?,,1,I10
Regulation Skepsis,Dimensions of Trust,1,I10
Robustness,Understanding of Properties,1,I10
Room for Improvements,Limitations,2,I10
Software Development,Types of Daily Work,3,I10
Understanding of Properties,Misunderstanding & Confusion,1,I10
Up-to-dateness & Usability,Property Importance,1,I10
Usability Beats Trust Issues,Trust Through Usage,1,I10
Used: Asking Experts,Workflows and Use,1,I10
Used: Google,Workflows and Use,2,I10
Used: Kaggle,Workflows and Use,1,I10
Used: Model Cards,Workflows and Use,1,I10
Used: Paper,Workflows and Use,1,I10
Using AI VS Developing AI,General Codes,1,I10
AI-as-a-Service (Pretrained & GenAI),ML Methods,7,I11
ANON,General Codes,1,I11
Association: Nutri Score,Associations,1,I11
Availablity of Data & Labels,Requirements on AI,3,I11
Azure,ML Tools & Brands,1,I11
Business Understanding,Types of Daily Work,2,I11
Certification,Limitations,2,I11
Color Mapping,Misunderstanding & Confusion,1,I11
Communication & Teambuilding,General Business Problems,1,I11
Compet More In-Depth (Positive),General Comparison,1,I11
Compet Rather Complex (Negative),General Comparison,1,I11
Consulting,Types of Daily Work,2,I11
Customizability,Requirements on AI,1,I11
Data Connectivity,Availablity of Data & Labels,2,I11
Data Exploration & Analysis,Types of Daily Work,2,I11
Design,Positive Feedback,3,I11
Developers of AI,Who Needs Trust,3,I11
Dimensions of Trust,Q4 - What About Trust?,3,I11
Distrust in Labels,Dimensions of Trust,2,I11
Documentation & Reporting,Requirements on AI,2,I11
End-Users of AI,Who Needs Trust,1,I11
"Energy, Resources & Sustainability",Property Importance,1,I11
Experts Using AI,Who Needs Trust,3,I11
Explain Color Scoring,Change or Enhance Coloring,1,I11
Generalizability of Labeling,Limitations,1,I11
Health & Medicine,AI Applications & Use Cases,1,I11
Info on Cost & Money,Room for Improvements,1,I11
Insecurity,General Codes,1,I11
Knowledge Acquisition & Transfer,Possible Use Cases,4,I11
Locality,Privacy,2,I11
Manufacturing & Industry,AI Applications & Use Cases,2,I11
Maybe Too Abstract,Limitations,5,I11
Misunderstanding & Confusion,Limitations,1,I11
Model Catalogues & Decisions,Possible Use Cases,5,I11
Moving with SOTA,General Business Problems,1,I11
Multiple Criteria,Design,2,I11
Natural Language Processing,ML Methods,2,I11
Predictive Quality,Property Importance,2,I11
Privacy,Requirements on AI,3,I11
Production Monitoring,Manufacturing & Industry,1,I11
Q4 - What About Trust?,,1,I11
Robustness,Understanding of Properties,1,I11
Self- VS Externally-Certified,Trustable Authorities,1,I11
TensorFlow,ML Tools & Brands,1,I11
Termporal Performance,Property Importance,1,I11
Traditional AI (ML & Training Models),ML Methods,5,I11
Trust in Academia,Trustable Authorities,1,I11
Trust in Companies,Trustable Authorities,2,I11
Trust in Labels,Dimensions of Trust,1,I11
Trust in Open Source,Trustable Authorities,2,I11
Understanding & Transparency,Requirements on AI,2,I11
Up-to-dateness & Usability,Property Importance,1,I11
Usability & Performance,Requirements on AI,1,I11
Use Case Understanding,Limitations,1,I11
Used: Asking Experts,Workflows and Use,1,I11
Used: Blogs and Journalists,Workflows and Use,1,I11
Used: Code Repos,Workflows and Use,1,I11
Used: Google,Workflows and Use,1,I11
Workflows and Use,Q3 - Competitors?,1,I11
AI-as-a-Service (Pretrained & GenAI),ML Methods,1,I12
ANON,General Codes,1,I12
Association: Energy Labels,Associations,1,I12
Association: Nutri Score,Associations,1,I12
Business Growth Thanks to AI,General Codes,2,I12
Certification,Limitations,1,I12
Color Mapping,Misunderstanding & Confusion,1,I12
Communication & Teambuilding,General Business Problems,1,I12
Compet More In-Depth (Positive),General Comparison,1,I12
Consistency & Robustness,Usability & Performance,1,I12
Consistency & Robustness,Property Importance,1,I12
"Energy, Resources & Sustainability",Property Importance,1,I12
Experienced Quality & Human Feedback,Predictive Quality,3,I12
General AI Skeptics,Dimensions of Trust,1,I12
Generalizability of Labeling,Limitations,1,I12
Info on Cost & Money,Room for Improvements,1,I12
Knowledge Acquisition & Transfer,Possible Use Cases,1,I12
Limitations,Q2 - How to Label?,2,I12
Maybe Too Abstract,Limitations,4,I12
Metric Aggregation & Compound,Misunderstanding & Confusion,2,I12
ML Engineering,Types of Daily Work,1,I12
